,grey_obj1a.jpg,grey_obj1b.jpg,grey_obj1c.jpg,grey_obj1d.jpg,grey_obj1e.jpg,grey_obj1f.jpg,grey_obj1g.jpg,grey_obj1h.jpg,grey_obj1i.jpg,grey_obj1j.jpg,grey_obj1k.jpg,grey_obj1l.jpg,grey_obj2a.jpg,grey_obj2b.jpg,grey_obj2c.jpg,grey_obj2d.jpg,grey_obj2e.jpg,grey_obj2f.jpg,grey_obj2g.jpg,grey_obj2h.jpg,grey_obj2i.jpg,grey_obj2j.jpg,grey_obj2k.jpg,grey_obj2l.jpg,grey_obj3a.jpg,grey_obj3b.jpg,grey_obj3c.jpg,grey_obj3d.jpg,grey_obj3e.jpg,grey_obj3f.jpg,grey_obj3g.jpg,grey_obj3h.jpg,grey_obj3i.jpg,grey_obj3j.jpg,grey_obj3k.jpg,grey_obj3l.jpg,grey_obj4a.jpg,grey_obj4b.jpg,grey_obj4c.jpg,grey_obj4d.jpg,grey_obj4e.jpg,grey_obj4f.jpg,grey_obj4g.jpg,grey_obj4h.jpg,grey_obj4i.jpg,grey_obj4j.jpg,grey_obj4k.jpg,grey_obj4l.jpg,grey_obj5a.jpg,grey_obj5b.jpg,grey_obj5c.jpg,grey_obj5d.jpg,grey_obj5e.jpg,grey_obj5f.jpg,grey_obj5g.jpg,grey_obj5h.jpg,grey_obj5i.jpg,grey_obj5j.jpg,grey_obj5k.jpg,grey_obj5l.jpg,grey_obj6a.jpg,grey_obj6b.jpg,grey_obj6c.jpg,grey_obj6d.jpg,grey_obj6e.jpg,grey_obj6f.jpg,grey_obj6g.jpg,grey_obj6h.jpg,grey_obj6i.jpg,grey_obj6j.jpg,grey_obj6k.jpg,grey_obj6l.jpg,grey_obj7a.jpg,grey_obj7b.jpg,grey_obj7c.jpg,grey_obj7d.jpg,grey_obj7e.jpg,grey_obj7f.jpg,grey_obj7g.jpg,grey_obj7h.jpg,grey_obj7i.jpg,grey_obj7j.jpg,grey_obj7k.jpg,grey_obj7l.jpg,grey_obj8a.jpg,grey_obj8b.jpg,grey_obj8c.jpg,grey_obj8d.jpg,grey_obj8e.jpg,grey_obj8f.jpg,grey_obj8g.jpg,grey_obj8h.jpg,grey_obj8i.jpg,grey_obj8j.jpg,grey_obj8k.jpg,grey_obj8l.jpg
grey_obj1k.jpg,0.82203346,0.8146413,0.8182531,0.8468531,0.84124136,0.7433569,0.7899638,0.82929564,0.77120775,0.8171354,0.9999999,0.72302973,0.59956,0.57528716,0.6104564,0.6830555,0.5335874,0.6534933,0.6065497,0.5965569,0.6260012,0.66174316,0.7097095,0.6337978,0.6508262,0.64741015,0.5599486,0.62847126,0.58196574,0.57047486,0.7132013,0.60374975,0.59391123,0.58899117,0.6693173,0.62719893,0.6143207,0.63960946,0.6556117,0.6368978,0.63032126,0.63047093,0.63556546,0.63783014,0.6431906,0.5989246,0.5883499,0.61862063,0.6508658,0.62394047,0.5796407,0.6084895,0.5893407,0.6295886,0.5732393,0.6240104,0.595463,0.6498983,0.6641998,0.5576327,0.60507286,0.6127649,0.62023264,0.5917671,0.5909981,0.5978877,0.61553043,0.5987344,0.61772287,0.64000475,0.6400677,0.5845431,0.6225717,0.6449794,0.64332235,0.64012486,0.67416614,0.6633121,0.5474482,0.60743785,0.58242524,0.6759369,0.64052,0.6701995,0.6222501,0.6596024,0.6204234,0.63427806,0.6490567,0.6586135,0.5656603,0.6199111,0.67753315,0.6321568,0.68713593,0.6184379
grey_obj1l.jpg,0.70077163,0.7568679,0.67679983,0.7775196,0.6367757,0.79496855,0.6824907,0.76233095,0.78084266,0.76815224,0.72302973,1.0000005,0.5818672,0.5950062,0.6216774,0.62376714,0.5049519,0.6174727,0.6857272,0.6643728,0.6142901,0.6425429,0.6250709,0.5850183,0.6219474,0.65067613,0.62513006,0.618453,0.630771,0.5954063,0.6778264,0.66142637,0.6070536,0.59849226,0.6203911,0.60921633,0.7046648,0.7214039,0.740028,0.69138944,0.63289607,0.6252571,0.6869461,0.63355577,0.6275564,0.6426127,0.6941013,0.67525566,0.64094734,0.60166,0.56161094,0.54428226,0.5515386,0.55574447,0.5539331,0.6240654,0.5837657,0.65386033,0.6170505,0.5207395,0.57596093,0.6246895,0.5942327,0.6423563,0.55521786,0.5827421,0.6350913,0.5491908,0.6598707,0.6109983,0.6753588,0.5907309,0.55758435,0.6467077,0.54687643,0.6143987,0.58633375,0.559458,0.4911492,0.5221124,0.5562988,0.606362,0.551819,0.56787306,0.6410239,0.698559,0.6926363,0.70115405,0.69301695,0.7001919,0.68663204,0.71589345,0.70579976,0.69541156,0.72248495,0.5988777
grey_obj2a.jpg,0.5413844,0.53486806,0.55033904,0.5530629,0.545998,0.5860025,0.5458616,0.53601015,0.5271511,0.54376966,0.59956,0.5818672,1.0,0.69339526,0.69071615,0.7500066,0.7974847,0.6762716,0.6576299,0.8381749,0.8552004,0.8274366,0.76645315,0.73672724,0.5747702,0.5763036,0.53433174,0.5579933,0.58683205,0.58494663,0.6110468,0.62287885,0.5261282,0.58512866,0.63312584,0.54614973,0.5937971,0.637846,0.61714697,0.5914921,0.61839336,0.59830314,0.5510776,0.64796704,0.68017334,0.5977553,0.6057186,0.62666094,0.5904981,0.61137223,0.5768068,0.5422817,0.51052296,0.5930385,0.510614,0.58581805,0.6759723,0.5814179,0.6395554,0.50090474,0.6038903,0.73647624,0.6531318,0.5740546,0.60368484,0.5828136,0.6102887,0.60621405,0.60442626,0.59771866,0.5763849,0.5589009,0.55595845,0.5986477,0.58818305,0.59779453,0.5927061,0.53220075,0.51048553,0.56144214,0.56411934,0.5915018,0.5317811,0.55245906,0.6002077,0.62766445,0.616246,0.6582887,0.6358301,0.6687055,0.62073106,0.63979626,0.555197,0.6432786,0.58439946,0.6123075
grey_obj2b.jpg,0.51144207,0.5489129,0.5079403,0.55665165,0.5171756,0.64881796,0.54055464,0.51946294,0.5538606,0.522757,0.57528716,0.5950062,0.69339526,1.0,0.9011262,0.83000195,0.7817602,0.753856,0.7335759,0.73828304,0.7818178,0.7617761,0.7277214,0.7597433,0.5983755,0.5786207,0.5341737,0.5410557,0.6208405,0.6064509,0.62186784,0.5839673,0.5740469,0.68340576,0.63655543,0.6241935,0.5697485,0.61982244,0.59790504,0.55857253,0.5894255,0.57840985,0.5987694,0.6207638,0.6326246,0.5626609,0.6208304,0.6186632,0.62936044,0.6414572,0.6038201,0.5692159,0.5629387,0.59049875,0.5435364,0.5641991,0.6140232,0.5828307,0.6159556,0.541966,0.65952235,0.6631425,0.6697515,0.5702534,0.65188885,0.6361992,0.64523035,0.64824426,0.5685797,0.66615474,0.620989,0.5516335,0.53904617,0.56976026,0.5705393,0.5783072,0.564933,0.5260873,0.4951831,0.53548986,0.5471513,0.54531866,0.559221,0.539224,0.57334936,0.5937697,0.62222564,0.6410531,0.6052689,0.6203464,0.5986342,0.5784755,0.5323984,0.6512921,0.5381988,0.62607145
grey_obj2c.jpg,0.5355321,0.5938421,0.5279447,0.56902647,0.53402984,0.64496934,0.5602305,0.54838324,0.5874869,0.55297256,0.6104564,0.6216774,0.69071615,0.9011262,0.9999999,0.8391139,0.7124945,0.7892719,0.77401996,0.75610095,0.7709417,0.78631365,0.6974901,0.76843727,0.63055354,0.60117906,0.5423524,0.5759086,0.62753665,0.62180054,0.62997,0.5894698,0.59091425,0.6901933,0.652988,0.64258283,0.55723566,0.6657815,0.6238427,0.58631796,0.6029791,0.59540653,0.61180884,0.63921523,0.64230067,0.5911313,0.6353437,0.63533497,0.64400584,0.6302875,0.60281307,0.6028206,0.564355,0.613794,0.5409276,0.55940783,0.6109799,0.5953658,0.61191964,0.55934477,0.6585971,0.6344975,0.6611617,0.60162026,0.6495779,0.6343989,0.65961516,0.6382949,0.58137196,0.6795979,0.64155316,0.5585323,0.55794626,0.5933252,0.605122,0.5796417,0.5817773,0.56683904,0.4993686,0.55738956,0.5807906,0.55657107,0.58579034,0.568859,0.59291065,0.60016805,0.60321844,0.65909964,0.62056947,0.64203805,0.6242166,0.60631025,0.54434526,0.6815715,0.5627062,0.62442994
grey_obj2d.jpg,0.59307075,0.6279938,0.5828692,0.62538993,0.6080769,0.67918444,0.60229284,0.5926701,0.627957,0.6127569,0.6830555,0.62376714,0.7500066,0.83000195,0.8391139,1.0000001,0.76797295,0.80513954,0.7965851,0.7564525,0.82461506,0.8512267,0.81302774,0.87491655,0.63564783,0.6147828,0.546459,0.5737405,0.62477916,0.64018035,0.6480392,0.60497344,0.6040257,0.6945201,0.67435026,0.6739082,0.59515816,0.6413171,0.6371592,0.57560086,0.6488873,0.5965231,0.6239519,0.6393002,0.6341755,0.5751205,0.60182124,0.6286621,0.6543133,0.64288867,0.6505771,0.6076646,0.5636767,0.6132886,0.5637446,0.59546024,0.6299109,0.60968924,0.64828557,0.5507169,0.6400372,0.64826494,0.64209414,0.5775445,0.6195859,0.6035907,0.626106,0.66960424,0.5889261,0.6348983,0.66216326,0.5512624,0.574422,0.6119177,0.62914675,0.6216277,0.6019182,0.5781062,0.5240648,0.5789655,0.58315754,0.59793526,0.6072209,0.59662175,0.5921347,0.60130394,0.6182226,0.64941704,0.62517774,0.6368248,0.5922736,0.6022043,0.58243173,0.661878,0.59963226,0.6278827
grey_obj2e.jpg,0.49145353,0.47675216,0.4777343,0.49519172,0.50429106,0.55884504,0.5134124,0.4808886,0.5035112,0.47911283,0.5335874,0.5049519,0.7974847,0.7817602,0.7124945,0.76797295,0.99999976,0.7416861,0.5963802,0.75159067,0.8579039,0.7709624,0.7486784,0.7968691,0.5423062,0.5275415,0.4896118,0.5056429,0.55608994,0.572709,0.57448727,0.5418439,0.50693417,0.5780029,0.5848035,0.51475644,0.5426408,0.572021,0.5577174,0.49585408,0.55427486,0.5280973,0.51346254,0.54602873,0.5965502,0.52254796,0.5230805,0.5479479,0.5451828,0.59886926,0.5719533,0.49920616,0.49184188,0.5193442,0.48872578,0.5146851,0.59257984,0.5366392,0.6005707,0.46718186,0.5703274,0.66732067,0.63249665,0.46712267,0.57302934,0.5826704,0.5924482,0.55443954,0.5084178,0.5457629,0.54941034,0.49813485,0.5240264,0.53487676,0.53919214,0.55526257,0.5507397,0.48764637,0.48968893,0.525095,0.53831214,0.53261495,0.50957286,0.51049054,0.49154305,0.52176535,0.53136444,0.55360425,0.52692974,0.530545,0.5006757,0.5065422,0.4817127,0.54787904,0.4911224,0.52162975
grey_obj2f.jpg,0.58048344,0.6054801,0.564963,0.59376156,0.5702101,0.6304692,0.57560754,0.58320963,0.6143027,0.5902507,0.6534933,0.6174727,0.6762716,0.753856,0.7892719,0.80513954,0.7416861,1.0,0.72344995,0.7744665,0.81462854,0.77955985,0.7667778,0.872916,0.61155987,0.59289354,0.5474299,0.59803057,0.6263899,0.6472818,0.6393166,0.6236258,0.61852646,0.65852135,0.6513944,0.6101125,0.56536293,0.600376,0.61189795,0.55530775,0.5845036,0.5670664,0.5842184,0.5916134,0.5938741,0.5527602,0.60152507,0.60275894,0.63365763,0.6169831,0.5976399,0.55571306,0.56737983,0.5530768,0.533429,0.569319,0.6142923,0.61369914,0.61177766,0.5206211,0.6189713,0.6764883,0.66090804,0.58485603,0.65497583,0.65325487,0.658002,0.61876035,0.55233896,0.64769816,0.68230784,0.54328877,0.55113214,0.5904365,0.6106732,0.588153,0.6121754,0.5840529,0.50786906,0.58197314,0.57042515,0.60237944,0.59862715,0.60023403,0.5775449,0.63383263,0.61031103,0.67344326,0.6230509,0.6429225,0.5973314,0.63112235,0.59196806,0.67227155,0.59491396,0.6132763
grey_obj2g.jpg,0.5448947,0.57509285,0.51831204,0.57815045,0.5287918,0.6616372,0.5276425,0.5637252,0.6095686,0.59601825,0.6065497,0.6857272,0.6576299,0.7335759,0.77401996,0.7965851,0.5963802,0.72344995,0.99999994,0.7294192,0.7120949,0.74556077,0.6750083,0.70484847,0.61543345,0.62346274,0.59193754,0.5627627,0.69003284,0.6384033,0.66661954,0.6781008,0.57811743,0.6562281,0.6472215,0.6329329,0.638117,0.6560148,0.65206647,0.5854402,0.64672923,0.624827,0.65185064,0.5834821,0.60033715,0.63628834,0.6255115,0.67520016,0.61832935,0.6413329,0.5824518,0.53698885,0.54185367,0.5503697,0.5451804,0.58544654,0.6129106,0.5874559,0.5998436,0.5023099,0.559941,0.6201294,0.59642744,0.6067346,0.58870643,0.6079358,0.6190491,0.61343366,0.5793902,0.63547474,0.653984,0.49372387,0.4967842,0.5630862,0.5613522,0.5394925,0.546032,0.5191088,0.43564248,0.50188786,0.54639244,0.5397883,0.5171898,0.54215926,0.61736166,0.6430916,0.6601314,0.70546734,0.65048456,0.67488134,0.6857864,0.68793815,0.6000813,0.74742925,0.59610045,0.6194817
grey_obj2h.jpg,0.5619496,0.5524786,0.5594555,0.56148696,0.52360076,0.6504568,0.5530467,0.56642663,0.5660988,0.58584076,0.5965569,0.6643728,0.8381749,0.73828304,0.75610095,0.7564525,0.75159067,0.7744665,0.7294192,1.0,0.89045167,0.8485951,0.7473886,0.7784618,0.63539577,0.6192603,0.5780425,0.5887318,0.64134485,0.61037606,0.6415672,0.6765243,0.56363374,0.6216474,0.64526844,0.60090476,0.65191615,0.6513349,0.65961194,0.6384817,0.6374855,0.62015814,0.5813123,0.6206758,0.61955506,0.59875524,0.63538367,0.64995205,0.6154398,0.6287505,0.5716199,0.5565843,0.5436337,0.57342184,0.5453219,0.6012544,0.65866214,0.6393694,0.6551494,0.5363515,0.56624174,0.6904961,0.6120453,0.5682709,0.5779809,0.59288627,0.6239727,0.5671803,0.58165675,0.5963887,0.61573577,0.51177293,0.55874944,0.61370933,0.60336936,0.5940763,0.6146388,0.5564382,0.5073599,0.5766872,0.5766245,0.60219467,0.5554815,0.5637792,0.6077119,0.6867595,0.66435474,0.6751964,0.6910818,0.689002,0.6533374,0.69080234,0.58747387,0.72362894,0.62248147,0.61947525
